Transaction_ID,Date,Shop,Location,Staff,Business Type,Item,Category,Weight,Karat,Making,Sales,Cost,Profit
1001,2/12/2025,Alras,UAE,ABDUL RAHMAN-175,Retail,18K,Chain,10.07,18K,556.95,3238.09,2381.555,5000
1002,3/4/2025,Alras,UAE,ABDUL RAHMAN-175,Retail,22K,Ring,1.48,22K,48.63,533.33,405.15,128.18
1003,3/4/2025,Alras,UAE,ABDUL RAHMAN-175,Retail,22K,Chain,7.79,22K,1.15,2552.38,2070.1925,482.1875
1004,3/3/2025,Alras,UAE,ABDUL RAHMAN-175,Retail,22K,Bangle,6.43,22K,0.02,2070.48,1708.7725,361.7075
1005,3/3/2025,Alras,UAE,ABDUL RAHMAN-175,Retail,22K,Bangle,6.29,22K,0.33,2025.71,1671.5675,354.1425
1006,2/12/2025,Alras,UAE,ABDUL RAHMAN-175,Retail,22K,CHAIN,14.68,22K,119.87,4876.19,3901.21,974.98
1007,2/12/2025,Alras,UAE,ABDUL RAHMAN-175,Retail,22K,Bangle,8.73,22K,295.29,3123.81,2389.8375,733.9725
1008,2/22/2025,Alras,UAE,ABDUL RAHMAN-175,Retail,22K,Necklace,4.72,22K,132.61,1686.67,1329.86,356.81
1009,2/22/2025,Alras,UAE,ABDUL RAHMAN-175,Retail,22K,Bangle,12.02,22K,97.65,4055.24,3194.315,860.925
1010,2/22/2025,Alras,UAE,ABDUL RAHMAN-175,Retail,22K,Chain,9.49,22K,0.18,3124.76,2521.9675,602.7925
1011,2/22/2025,Alras,UAE,ABDUL RAHMAN-175,Retail,22K,Bangle,12.05,22K,96.35,4063.81,3202.2875,861.5225
1012,2/28/2025,Alras,UAE,ABDUL RAHMAN-175,Retail,22K,Chain,16.45,22K,81.46,5361.91,4371.5875,990.3225
1013,3/2/2025,Alras,UAE,ABDUL RAHMAN-175,Retail,22K,Chain,8.12,22K,152.78,2755.24,2194.43,560.81
1014,3/2/2025,Alras,UAE,ABDUL RAHMAN-175,Retail,2K,EARRING,21.54,2K,783.1,7686.67,5982.735,1703.935
1015,2/16/2025,Alras,UAE,ABDUL RAHMAN-175,Retail,22K,NECKLACE,9.91,22K,298.88,3504.77,2722.7725,781.9975
1016,2/22/2025,Alras,UAE,ABDUL RAHMAN-175,Retail,22K,Rings,2.48,22K,99.65,916.19,670.22,245.97
